ID,ACORN_Category
MAC001135,Rising Prosperity
MAC004475,Rising Prosperity
MAC005351,Rising Prosperity
MAC002505,Rising Prosperity
MAC001735,Rising Prosperity
MAC002978,Rising Prosperity
MAC002649,Rising Prosperity
MAC000085,Rising Prosperity
MAC004434,Rising Prosperity
MAC002965,Rising Prosperity
MAC001642,Rising Prosperity
MAC004948,Rising Prosperity
MAC004949,Rising Prosperity
MAC002190,Rising Prosperity
MAC004968,Rising Prosperity
MAC001157,Rising Prosperity
MAC005154,Rising Prosperity
MAC002946,Rising Prosperity
MAC000139,Rising Prosperity
MAC004647,Rising Prosperity
MAC004611,Rising Prosperity
MAC001552,Rising Prosperity
MAC002458,Rising Prosperity
MAC004888,Rising Prosperity
MAC004887,Rising Prosperity
MAC001561,Rising Prosperity
MAC003146,Rising Prosperity
MAC002428,Rising Prosperity
MAC005453,Rising Prosperity
MAC002230,Rising Prosperity
MAC004218,Rising Prosperity
MAC005003,Rising Prosperity
MAC001580,Rising Prosperity
MAC002243,Rising Prosperity
MAC002083,Rising Prosperity
MAC004843,Rising Prosperity
MAC001584,Rising Prosperity
MAC000888,Rising Prosperity
MAC001502,Rising Prosperity
MAC004091,Rising Prosperity
MAC000079,Rising Prosperity
MAC001000,Rising Prosperity
MAC004953,Rising Prosperity
MAC000311,Rising Prosperity
MAC004945,Rising Prosperity
MAC001518,Rising Prosperity
MAC000983,Rising Prosperity
MAC002166,Rising Prosperity
MAC004928,Rising Prosperity
MAC004927,Rising Prosperity
MAC004263,Rising Prosperity
MAC000957,Rising Prosperity
MAC004976,Rising Prosperity
MAC001539,Rising Prosperity
MAC003229,Rising Prosperity
MAC004916,Rising Prosperity
MAC004915,Rising Prosperity
MAC004911,Rising Prosperity
MAC004987,Rising Prosperity
MAC002148,Rising Prosperity
MAC004924,Rising Prosperity
MAC000883,Rising Prosperity
MAC000105,Rising Prosperity
MAC002247,Rising Prosperity
MAC004718,Rising Prosperity
MAC003093,Rising Prosperity
MAC004704,Rising Prosperity
MAC005380,Rising Prosperity
MAC002358,Rising Prosperity
MAC000815,Rising Prosperity
MAC004686,Rising Prosperity
MAC001873,Rising Prosperity
MAC001928,Rising Prosperity
MAC000808,Rising Prosperity
MAC000052,Rising Prosperity
MAC004677,Rising Prosperity
MAC001638,Rising Prosperity
MAC004666,Rising Prosperity
MAC000377,Rising Prosperity
MAC001070,Rising Prosperity
MAC000109,Rising Prosperity
MAC004653,Rising Prosperity
MAC004590,Rising Prosperity
MAC004360,Rising Prosperity
MAC004448,Rising Prosperity
MAC004439,Rising Prosperity
MAC005015,Rising Prosperity
MAC005504,Rising Prosperity
MAC000871,Rising Prosperity
MAC004318,Rising Prosperity
MAC002555,Rising Prosperity
MAC000866,Rising Prosperity
MAC005517,Rising Prosperity
MAC000863,Rising Prosperity
MAC003100,Rising Prosperity
MAC003364,Rising Prosperity
MAC002380,Rising Prosperity
MAC004760,Rising Prosperity
MAC000026,Rising Prosperity
MAC002005,Rising Prosperity
MAC001613,Rising Prosperity
MAC002375,Rising Prosperity
MAC004399,Rising Prosperity
MAC004740,Rising Prosperity
MAC003708,Rising Prosperity
MAC002153,Rising Prosperity
MAC004959,Rising Prosperity
MAC002928,Rising Prosperity
MAC001352,Rising Prosperity
